llm_id,sub_category,name,image_url,url,description,price,upgrades,tags,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrate,dietary_fiber,sugars,protein
A001,"FEATURES
",CALAMARI BRAVAS,,,"tender ocean wise™ humboldt squid, peppers, jalapeños, dill, tzatziki, paprika aioli",$19 ,,"New, gluten-smart",417,1000,77,10,0.2,500,1260,45,2,4,36
A002,"FEATURES
",HOT CHICKEN + PICKLES,,,"crispy fried chicken, nashville spice, honey, creamy parmesan dip",$18 ,,"New, gluten-smart",322,1060,70,10,0.2,160,1360,58,2,14,54
A003,"FEATURES
",TRUFFLE CHICKEN,,,"parmesan crusted chicken breast, roasted mushrooms, potato gnocchi, truffle mushroom cream sauce, arugula",$31 ,,New,498,1400,97,24,1,295,2320,50,5,4,82
A004,SUSHI,"SPICY AHI ROLL
",,,"ocean wise™ ahi tuna, mango, avocado, cucumber, sesame soy paper, wasabi mayo, crispy yam curls",$18.75 ,,,265,440,12,1,0,25,1380,63,5,10,17
A005,SUSHI,"PRAWN CRUNCH ROLL
",,,"crispy prawn, mango, avocado, cucumber, sesame soy paper, sriracha mayo, soy glaze",$17.75 ,,,270,560,23,1.5,0.1,85,1430,68,4,10,15
A006,"START + SHARE
",CALAMARI BRAVAS,,,"tender ocean wise™ humboldt squid, peppers, jalapeños, dill, tzatziki, paprika aioli",$19 ,,"New, gluten-smart",417,1000,77,10,0.2,500,1260,45,2,4,36
A007,"START + SHARE
",CRAB CAKE,,,"panko-crusted canadian rock crab, prawn, cucumber, arugula, green goddess dressing",$18.50 ,,New,204,540,48,9,0.5,95,490,15,2,1,15
A008,"START + SHARE
",HOT CHICKEN + PICKLES,,,"crispy fried chicken, nashville spice, honey, creamy parmesan dip",$18 ,,"New, gluten-smart",322,1060,70,10,0.2,160,1360,58,2,14,54
A009,"START + SHARE
","WAGYU BEEF CARPACCIO
",,,"peppercorn-crusted wagyu beef, bearnaise aioli, capers, arugula, pickled onions, freshly grated horseradish, garlic crostini",$21 ,,,297,1090,89,31,2,135,1890,56,4,3,25
A010,"START + SHARE
","MINI CRISPY CHICKEN SANDWICHES
",,,"spicy panko-crusted chicken, swiss cheese, sambal mayo, lettuce, tomato, pickle, onion",$17.25 ,,,356,980,67,26,1,200,1110,41,4,24,44
A011,"START + SHARE
","MINI BURGERS
",,,"smashed certified angus beef®, cheddar, bacon, lettuce, tomato, red pepper relish, dijon mayonnaise",$17.25 ,,,345,930,65,19,1,180,1680,49,4,26,34
A012,"START + SHARE
","CHICKEN WINGS
",,,"salt & pepper or louisiana hot, celery, creamy parmesan dip",$18.75 ,,,259,850,55,15,0.5,350,330,0,0,0,83
A013,"START + SHARE
","SZECHUAN CHICKEN LETTUCE WRAPS
",,,"sweet and spicy szechuan chicken, peanuts, wontons, korean chili sauce, spicy yogurt",$21.75 ,,,671,1320,81,10,0.1,145,1950,100,6,39,66
A014,"START + SHARE
",SZECHUAN TOFU LETTUCE WRAPS,,,"sweet and spicy crispy szechuan tofu, peanuts, wontons, korean chili sauce, spicy yogurt",$21.75 ,,Vegetarian: dish can be made vegan-friendly upon request,608,1160,92,11,0.1,20,1870,73,6,38,33
A015,"START + SHARE
",TRUFFLE FRIES ,,,"truffle, herbs, grana padano, garlic aioli",$11.50 ,,"Gluten-smart, Vegetarian",249,670,47,5,0.2,10,2480,60,5,3,9
A016,"START + SHARE
",CRISPY YAM FRIES,,,garlic aioli,$10.75 ,,"Gluten-smart, Vegetarian: dish can be made vegan-friendly upon request",292,840,48,3.5,0.2,0,1500,98,11,29,5
A017,"START + SHARE
",EDAMAME ,,,"steamed soybeans, sea salt",$9.75 ,,"Gluten-smart, Vegan-friendly: food items may come into contact with non-vegan ingredients",228,280,12,1.5,0,0,600,23,12,5,25
A018,"START + SHARE
","RAVIOLI + PRAWN TRIO
",,,"chef rob feenie’s signature butternut squash and mascarpone ravioli, truffle butter, sautéed prawns, pine nuts, crispy sage",$17.25 ,,,199,560,45,22,1.5,235,1100,19,1,3,17
A019,"BOWLS
","THE MED BOWL
",,,"turmeric rice, beetroot hummus, kale, cucumber, red onion, tomatoes, macedonian feta, kalamata olives, yogurt, pickled red cabbage","24.75
20","with your choice of the following: 
falafel and grilled shawarma chicken 24¾ 
falafel 20",Vegetarian,,,,,,,,,,,
A020,"BOWLS
","THAI GREEN CURRY
",,,"coconut green curry, jasmine rice, bok choy, spinach, peppers, bean sprouts, thai basil, cilantro, crispy rice","26.25
23.75","with your choice of the following:  
prawns 26¼
chicken 23¾",,,,,,,,,,,,
A021,"BOWLS
","TUNA POKE BOWL
",,,"sesame ginger ocean wise™ ahi, jasmine rice, mango, cucumber, avocado, edamame, ginger, radish, crispy tempura",$24.75 ,,,577,880,50,6,0.3,60,1890,78,11,22,31
A022,"BOWLS
",CRISPY TOFU BOWL ,,,"100% plant-based. soy chili tofu, jasmine rice, mango, cucumber, avocado, edamame, ginger, radish",$22.75 ,,"Gluten-smart, Vegan-friendly: food items may come into contact with non-vegan ingredients",604,900,50,6,0.1,0,1550,87,10,25,27
A023,"BOWLS
","TERIYAKI CHICKEN RICE BOWL
",,,"peppers, broccoli, red cabbage, bean sprouts, spicy yogurt",$22 ,,,691,1070,49,7,0.2,100,2640,121,7,32,42
A024,GREENS,"LEMONGRASS NOODLE SALAD
",,,"grilled lemongrass chicken, rice noodles, fresh greens, peanuts, avocado, carrot, cabbage, serrano peppers, thai basil, cilantro, sweet citrus vinaigrette",$23.25 ,"substitute lemongrass prawns +4
",,,,,,,,,,,,
A025,GREENS,"RAINCOAST GREENS
",,,"fresh greens, grilled chicken breast, avocado, tomatoes, feta, spicy pecans, cucumber, egg, lemon-thyme vinaigrette",$23.75 ,"substitute grilled salmon or sautéed prawns +4
",,,,,,,,,,,,
A026,GREENS,"AVOCADO KALE SALAD
",,,"crispy chickpeas, grilled avocado, pickled red cabbage, fennel chili crumb, grana padano, lemon garlic dressing",$17.75 ,"add grilled chicken +6.25 
add grilled salmon +8.75",,,,,,,,,,,,
A027,"CASUAL FAVOURITES
","BAJA FISH TACOS
",,,"beer battered ocean wise™ pacific cod, pico de gallo, pickled cabbage, valentina garlic mayo, avocado crema, flour tortilla",$18.75 ,"add sea salted fries +4.75
add fresh greens, kale salad, truffle fries, yam fries +5.50",,330,760,36,5,0.1,30,1430,85,6,7,24
A028,"CASUAL FAVOURITES
","ROB’S CRISPY CHICKEN SANDWICH
",,,"spicy panko-crusted chicken, swiss cheese, sambal mayo, lettuce, tomato, pickle, onion, sea salted fries",$22.25 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2
lettuce bun+2",,,,,,,,,,,,
A029,"CASUAL FAVOURITES
","CHICKEN TENDERS
",,,"panko-breaded chicken, sea salted fries, honey mustard dip",$18.75 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2
lettuce bun+2",,283,760,38,4,0.1,260,1360,54,2,1,51
A030,"CASUAL FAVOURITES
","CAJUN CHICKEN SANDWICH
",,,"blackened cajun chicken, aged cheddar, lettuce, tomato, mayonnaise, brioche bun, sea salted fries",$20.75 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2
lettuce bun+2",,312,790,57,17,0.5,155,2350,41,3,8,40
A031,"BURGERS
","THE FEENIE BURGER
",,,"smashed certified angus beef®, sautéed mushrooms, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard, sea salted fries",$23.50 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2lettuce bun+2",,537,1110,77,35,1.5,230,1980,58,3,21,54
A032,"BURGERS
",CHEDDAR BACON BURGER,,,"smashed certified angus beef®, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard, sea salted fries",$22.25 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2lettuce bun+2",,378,830,47,18,0.3,170,1970,55,3,19,52
A033,"BURGERS
",GARDENBURGER,,,"aged cheddar, red relish, mayonnaise, ketchup, mustard, brioche bun, sea salted fries",$20.75 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2lettuce bun+2",Vegetarian,339,870,58,20,1,80,1530,64,5,10,24
A034,"BURGERS
",IMPOSSIBLE™ BURGER ,,,"impossible™ plant-based patty, red relish, vegan mayo, ketchup, mustard, vegan bun, sea salted fries",$21.75 ,"Substitute
fresh greens, kale salad, truffle fries or yam fries+2.50
gluten-free bun+2lettuce bun+2",Vegan-friendly: food items may come into contact with non-vegan ingredients,,,,,,,,,,,
A035,MAINS,TRUFFLE CHICKEN,,,"parmesan crusted chicken breast, roasted mushrooms, potato gnocchi, truffle mushroom cream sauce, arugula31",$31 ,,New,498,1400,97,24,1,295,2320,50,5,4,82
A036,MAINS,CRAB CAKE FRITES ,,,"panko-crusted canadian crab & prawn cakes, tartar sauce, kale salad, sea salted fries",$32 ,,New,407,1660,142,23,1,215,1760,74,7,6,35
A037,MAINS,"RIGATONI BOLOGNESE
",,,"truffled pecorino, slow cooked beef and pork ragu, rosemary, fennel chili crumb, garlic crostini",$24.25 ,,,465,980,43,17,0.5,105,1950,111,14,21,41
A038,MAINS,"SPAGHETTI PORTOFINO
",,,"sautéed prawns, lobster lemon butter sauce, roasted gem tomatoes, corn, fennel chili crumb, garlic crostini",$26.75 ,,,475,1060,69,31,1.5,295,1650,73,4,6,31
A039,MAINS,"BUTTERNUT SQUASH RAVIOLI WITH PRAWNS
",,,"chef rob feenie’s signature butternut squash and mascarpone ravioli, truffle butter, sautéed prawns, pine nuts, crispy sage",$30 ,,,,,,,,,,,,,
A040,MAINS,"BLACKENED CREOLE CHICKEN
",,,"creole butter, cajun spices, buttered mashed potatoes, roasted asparagus",$29 ,,,503,800,48,22,0.5,220,2760,41,6,3,52
A041,MAINS,"GRILLED DIJON SALMON
",,,"ocean wise™ lois lake steelhead, buttered mashed potatoes, roasted asparagus, soy-dijon butter sauce, cilantro",$30.25 ,,,396,550,30,11,0.5,130,1810,29,2,1,47
A042,STEAKS,STEAK + LOBSTER,,,"atlantic lobster tail, buttered mashed potatoes, roasted asparagus, grilled lemon","66.75
65.75","with your choice of the following:
7oz certified angus beef® filet 66.75
12oz new york striploin 65.75","Gluten-smart, New",,,,,,,,,,,
A043,STEAKS,TRUFFLE MUSHROOM STEAK,,,"8oz certified angus beef® sirloin, roasted mushrooms, truffle compound butter, red wine jus, buttered mashed potatoes, roasted asparagus",$37.75 ,"Upgrade any 8oz sirloin to:
7oz certified angus beef® filet+13
12oz certified angus beef® new york striploin+12

Add to your steak:
atlantic lobster tail+20",New,,,,,,,,,,,
A044,STEAKS,"CREOLE STEAK + PRAWNS
",,,"8oz certified angus beef® sirloin, cajun spices, spicy creole butter, white wine sautéed creole prawns, buttered mashed potatoes, roasted asparagus",$43.25 ,"Upgrade any 8oz sirloin to:
7oz certified angus beef® filet+13
12oz certified angus beef® new york striploin+12

Add to your steak:
atlantic lobster tail+20",,,,,,,,,,,,
A045,STEAKS,"STEAK FRITES
",,,"8oz certified angus beef® sirloin, kale salad, horseradish cream, sea salted fries",$32.75 ,"Upgrade any 8oz sirloin to:
7oz certified angus beef® filet+13
12oz certified angus beef® new york striploin+12

Add to your steak:
atlantic lobster tail+20",,,,,,,,,,,,
A046,STEAKS,PEPPERCORN STEAK,,,"8oz certified angus beef® sirloin, chef rob feenie’s pernod peppercorn demi-glace, buttered mashed potatoes, roasted asparagus",$37.75 ,"Upgrade any 8oz sirloin to:
7oz certified angus beef® filet+13
12oz certified angus beef® new york striploin+12

Add to your steak:
atlantic lobster tail+20",Gluten-Smart,,,,,,,,,,,
A047,STEAKS,CHARGRILLED STEAK ,,,"8oz certified angus beef® sirloin, buttered mashed potatoes, roasted asparagus",$33.75 ,"Upgrade any 8oz sirloin to:
7oz certified angus beef® filet+13
12oz certified angus beef® new york striploin+12

Add to your steak:
atlantic lobster tail+20",Gluten-Smart,,,,,,,,,,,
A048,STEAKS,"MILLIONAIRE’S CUT
",,,"white wine sautéed creole prawns, buttered mashed potatoes, roasted asparagus","51.75
50.75","with your choice of the following:
7oz certified angus beef® filet 51.75 
12oz new york striploin 50.75",,,,,,,,,,,,
A049,DESSERTS,CHOCOLATE LAVA CAKE ,,,"molten dark chocolate cake, tahitian vanilla ice cream",$11.50 ,,Vegetarian,,,,,,,,,,,
A050,DESSERTS,CHOCOLATE PEANUT BUTTER CRUNCH BAR ,,,"tahitian vanilla ice cream, caramel sauce, crunchy chocolate pearls",$11.50 ,,Vegetarian,,,,,,,,,,,
A051,DESSERTS,KEY LIME PIE ,,,"freshly squeezed key limes, graham cracker crust, hand-whipped cream",$11.50 ,,Vegetarian,,,,,,,,,,,
A052,DESSERTS,NEW YORK CHEESECAKE ,,,"graham cracker crust, raspberry compote, hand-whipped cream",$11.50 ,,Vegetarian,,,,,,,,,,,
A053,"PLANT BASED + VEGETARIAN
",SZECHUAN TOFU LETTUCE WRAPS ,,,"sweet and spicy crispy szechuan tofu, peanuts, wontons, korean chili sauce, spicy yogurt",$21.75 ,,Vegetarian: dish can be made vegan-friendly upon request,,,,,,,,,,,
A054,"PLANT BASED + VEGETARIAN
",EDAMAME ,,,"steamed soybeans, sea salt",$9.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,228,280,12,1.5,0,0,600,23,12,5,25
A055,"PLANT BASED + VEGETARIAN
",CRISPY YAM FRIES ,,,garlic aioli,$10.75 ,,Vegetarian: dish can be made vegan-friendly upon request,292,840,48,3.5,0.2,0,1500,98,11,29,5
A056,"PLANT BASED + VEGETARIAN
",TRUFFLE FRIES ,,,"truffle, herbs, grana padano, garlic aioli",$11.50 ,,Vegetarian,249,670,47,5,0.2,10,2480,60,5,3,9
A057,"PLANT BASED + VEGETARIAN
",THE MED BOWL ,,,"falafel, turmeric rice, beetroot hummus, kale, cucumber, red onion, tomatoes, macedonian feta, kalamata olives, yogurt, pickled red cabbage
vegan option available",$20 ,,Vegetarian,444,700,35,5,0.1,0,1900,76,8,12,11
A058,"PLANT BASED + VEGETARIAN
",CRISPY TOFU BOWL ,,,"100% plant-based. soy chili tofu, jasmine rice, mango, cucumber, avocado, edamame, ginger, radish",$22.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,604,900,50,6,0.1,0,1550,87,10,25,27
A059,"PLANT BASED + VEGETARIAN
",GARDENBURGER® ,,,"aged cheddar, red relish, mayonnaise, ketchup, mustard, brioche bun, sea salted fries",$20.75 ,,Vegetarian,339,870,58,20,1,80,1530,64,5,10,24
A060,"PLANT BASED + VEGETARIAN
",IMPOSSIBLE™ BURGER ,,,"impossible™ plant-based patty, red relish, vegan mayo, ketchup, mustard, vegan bun, sea salted fries",$21.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,,,,,,,,,,,
A061,GLUTEN SMART,CALAMARI BRAVAS,,,"tender ocean wise™ humboldt squid, peppers, jalapeños, dill, tzatziki, paprika aioli",$19 ,,"New, May contain gluten due to fryer",417,1000,77,10,0.2,500,1260,45,2,4,36
A062,GLUTEN SMART,HOT CHICKEN + PICKLES,,,"crispy fried chicken, nashville spice, honey, creamy parmesan dip",$18 ,,"New, May contain gluten due to fryer",322,1060,70,10,0.2,160,1360,58,2,14,54
A063,GLUTEN SMART,TRUFFLE FRIES ,,,"truffle, herbs, grana padano, garlic aioli",$11.50 ,,"Vegetarian, french fries may contain gluten due to fryer",249,670,47,5,0.2,10,2480,60,5,3,9
A064,GLUTEN SMART,CRISPY YAM FRIES ,,,garlic aioli,$10.75 ,,"Vegan-friendly: food items may come into contact with non-vegan ingredients
Garlic aiolo containes egg, fries may contain gluten due to fryer",292,840,48,3.5,0.2,0,1500,98,11,29,5
A065,GLUTEN SMART,EDAMAME ,,,"steamed soybeans, sea salt",$9.75 ,,Vegan-friendly: food items may come into contact with non-vegan ingredients,228,280,12,1.5,0,0,600,23,12,5,25
A066,GLUTEN SMART,"THE MED BOWL
",,,"turmeric rice, beetroot hummus, kale, cucumber, red onion, tomatoes, macedonian feta, kalamata olives, yogurt, pickled red cabbage","24.75
20","with your choice of the following: 
falafel and grilled shawarma chicken 24.75
falafel 20",Note: falafel may contain gluten due to fryer.,,,,,,,,,,,
A067,GLUTEN SMART,CRISPY TOFU BOWL ,,,"100% plant-based. soy chili tofu, jasmine rice, mango, cucumber, avocado, edamame, ginger, radish",$22.75 ,,"tofu may contain gluten due to fryer
Vegan-friendly: food items may come into contact with non-vegan ingredients",604,900,50,6,0.1,0,1550,87,10,25,27
A068,GLUTEN SMART,"LEMONGRASS NOODLE SALAD
",,,"grilled lemongrass chicken, rice noodles, fresh greens, peanuts, avocado, carrot, cabbage, serrano peppers, thai basil, cilantro, sweet citrus vinaigrette",$23.25 ,"order without: sushi sauce
substitute lemongrass prawns +4",,,,,,,,,,,,
A069,GLUTEN SMART,"THE FEENIE BURGER
",,,"smashed certified angus beef®, sautéed mushrooms, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard, gluten-free bun",$25.50 ,,,537,1110,77,35,1.5,230,1980,58,3,21,54
A070,GLUTEN SMART,CHEDDAR BACON BURGER,,,"smashed certified angus beef®, aged cheddar, smoked bacon, red relish, mayonnaise, ketchup, mustard, gluten-free bun",$24.25 ,,,378,830,47,18,0.3,170,1970,55,3,19,52
A071,GLUTEN SMART,"CAJUN CHICKEN SANDWICH
",,,"blackened cajun chicken, aged cheddar, lettuce, tomato, mayonnaise, gluten-free bun",$22.75 ,,,312,790,57,17,0.5,155,2350,41,3,8,40
A072,GLUTEN SMART,"THAI GREEN CURRY
",,,"coconut green curry, jasmine rice, bok choy, spinach, peppers, bean sprouts, thai basil, cilantro, crispy rice",,"with your choice of the following:  
prawns 26.25
chicken 23.75",,,,,,,,,,,,
A073,GLUTEN SMART,"GRILLED SALMON
",,,"ocean wise™ lois lake steelhead, buttered mashed potatoes, roasted asparagus",$30.25 ,,,340,510,33,12,0.4,110,1080,25,3,1,41
A074,GLUTEN SMART,"CHARGRILLED STEAK
",,,"8oz certified angus beef® sirloin, buttered mashed potatoes, roasted asparagus",$33.75 ,add pernod peppercorn demi-glace +4,,,,,,,,,,,,
A075,GLUTEN SMART,STEAK + LOBSTER,,,"atlantic lobster tail, buttered mashed potatoes, roasted asparagus, grilled lemon","66.75
65.75","with your choice of the following:
7oz certified angus beef® filet 66.75
12oz new york striploin 65.75",New,,,,,,,,,,,
